Origem,Destino,Companhia Aérea,Tipo de Aeronave,Atraso (min),Tempo de Voo (min),Cancelado,Número de Passageiros,Combustível Estimado (litros)
Recife,Brasília,Azul,Airbus A330,0,57,Não,103,3357.4
Curitiba,Recife,Avianca,Airbus A320,0,112,Não,237,6202.59
Recife,Belo Horizonte,Gol,Boeing 737,0,211,Sim,141,9057.07
Salvador,Belo Horizonte,Avianca,Embraer 195,54,112,Não,225,12173.05
Curitiba,Belo Horizonte,LATAM,Airbus A320,157,235,Não,196,1556.24
Salvador,Rio de Janeiro,LATAM,Airbus A320,0,153,Não,114,8042.77
Brasília,São Paulo,Azul,Airbus A320,0,126,Não,107,11630.34
Recife,Salvador,Azul,Boeing 777,0,67,Não,136,14648.03
Belo Horizonte,Brasília,Azul,Embraer 195,0,154,Não,73,5260.05
São Paulo,Curitiba,Avianca,Boeing 777,144,157,Não,99,12882.29
São Paulo,Curitiba,Avianca,Airbus A320,0,202,Não,249,14550.61
Fortaleza,Belo Horizonte,LATAM,Airbus A320,0,190,Sim,243,10890.67
Salvador,Belo Horizonte,Avianca,Embraer 195,0,78,Não,87,8687.27
São Paulo,Fortaleza,LATAM,Embraer 195,134,226,Não,226,7593.93
Recife,São Paulo,Gol,Embraer 195,0,76,Não,235,9318.87
São Paulo,Recife,LATAM,Boeing 777,15,173,Não,206,3016.02
Recife,Brasília,Gol,Embraer 195,0,130,Não,212,4002.29
São Paulo,Belo Horizonte,Gol,Embraer 195,0,171,Não,227,10468.48
Brasília,Rio de Janeiro,LATAM,Embraer 195,123,52,Não,174,14323.66
Recife,Curitiba,LATAM,Boeing 777,83,223,Sim,120,13508.25
Curitiba,Recife,LATAM,Embraer 195,0,67,Não,92,12300.07
Salvador,São Paulo,LATAM,Boeing 777,0,167,Não,113,14046.98
Curitiba,Brasília,Gol,Airbus A320,0,154,Não,209,13060.87
Belo Horizonte,Brasília,Gol,Embraer 195,0,215,Não,172,3734.95
Belo Horizonte,São Paulo,LATAM,Boeing 777,0,171,Não,80,11014.08
Rio de Janeiro,Belo Horizonte,Gol,Airbus A330,0,138,Não,147,13948.57
Rio de Janeiro,Recife,Gol,Boeing 737,0,103,Não,72,13008.74
São Paulo,Belo Horizonte,LATAM,Airbus A320,0,82,Não,115,4722.51
Recife,Brasília,LATAM,Embraer 195,0,143,Não,165,11981.82
Recife,São Paulo,Avianca,Boeing 737,0,45,Não,153,3090.22
Belo Horizonte,Curitiba,Gol,Airbus A320,0,226,Não,202,14486.35
Curitiba,Salvador,LATAM,Boeing 777,0,122,Não,61,14554.72
Recife,Brasília,LATAM,Airbus A330,173,65,Não,196,3027.56
Curitiba,Recife,Gol,Embraer 195,104,208,Não,203,3695.08
Rio de Janeiro,Belo Horizonte,LATAM,Boeing 777,143,80,Não,189,5648.27
Rio de Janeiro,Belo Horizonte,Gol,Airbus A330,31,130,Não,171,1692.57
Rio de Janeiro,Salvador,LATAM,Embraer 195,72,137,Não,208,14459.87
Brasília,Belo Horizonte,LATAM,Boeing 777,10,163,Não,200,4424.06
